LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
RP11-401E14.2,1,56,14,0,0,0,0,2,0,1,42,41,83,0,0,0,1,2684.740479,4403,1,0,4242,0,0,0,19,22,33,0,33,0,0,0,1,8951.369555,8033,0,0,0,1,8951.369555,8033,0,0,0,0,0,0,0,0,0,24,23,1,1,3,86,0
RP11-401F2.3,1,51,41,0,0,0,0,23,2,4,18,19,37,0,0,0,1,10854.44578,17048,0,0,19962,2,7.8725,0,22,39,49,5,44,0,5,5,3,30781.25077,17571,7,136663.5669,459,2,8805.675729,16739,1,3354.464509,7075,0,0,0,1,3354.464509,7075,24,35,8,10,52,129,16
RP11-401F2.4,1,33,34,0,0,0,0,13,0,2,13,20,33,0,0,0,1,8440.696807,16153,1,0,17876,1,8.095,0,29,26,52,5,47,0,22,22,2,19126.06653,17469,9.5,127733.7826,458.5,2,11274.90634,17222,1,11028.16125,16650,0,0,0,1,11028.16125,16650,22,22,10,10,41,76,33
RP11-401H2.1,1,55,12,0,0,0,0,1,0,2,11,42,53,0,0,0,1,318.6863,1524.5,0,0,19962,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
RP11-401I19.1,0,52,16,0,0,0,0,0,0,2,1,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-401N18.1,0,49,12,0,0,0,0,5,0,1,2,27,29,0,0,0,1,3830.838756,7844.5,0,0,19962,10,5.87,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,25,6,0
RP11-401O9.3,1,70,18,0,0,0,0,11,1,1,3,8,11,0,0,0,0,0,0,0,0,0,1,5.72,0,0,22,8,0,8,0,0,0,1,853.5233154,4048,0,0,0,1,853.5233154,4048,0,0,0,0,0,0,0,0,0,7,27,2,1,7,62,3
RP11-401O9.4,0,47,13,0,0,0,0,5,0,0,22,46,68,0,0,0,1,759.1946111,2200,1,0,2200,1,7.475,0,9,17,22,12,10,0,0,0,2,20112.54725,19264,2,30343.76992,436,1,3913.11135,4048,0,0,0,0,0,0,0,0,0,5,49,3,12,8,48,1
RP11-401P9.1,1,39,56,0,0,0,0,5,1,2,11,6,17,0,0,0,1,792.0962,3370.5,0,0,19962,2,7.046667,0,2,31,18,0,18,0,1,1,1,1824.996082,4798,0,0,0,1,1824.996082,4798,1,1237.3928,4900,0,0,0,1,1237.3928,4900,27,18,5,3,74,115,40
RP11-401P9.5,0,47,29,0,0,0,0,14,2,3,24,14,38,0,0,0,1,314.0859,498,1,0,498,3,6.456667,0,1,7,21,0,21,0,0,0,1,3674.199356,8575,0,0,0,1,3674.199356,8575,0,0,0,0,0,0,0,0,0,5,8,0,0,60,21,0
RP11-401P9.6,0,42,37,0,0,159,0,4,1,0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,15,0,0,0,1,2082.96786,5801,0,0,0,1,2082.96786,5801,0,0,0,0,0,0,0,0,0,13,8,6,4,17,79,17
RP11-402C9.1,0,54,143,0,0,0,0,11,2,3,7,20,27,0,0,0,1,4861.949241,7572.5,0,0,19962,18,6.357143,0,22,34,92,0,92,0,2,2,1,7334.14869,12389,0,0,0,1,7334.14869,12389,1,5405.6605,5349.5,0,0,0,1,5405.6605,5349.5,23,57,0,1,4,76,0
RP11-402D21.2,1,45,30,0,0,0,0,35,3,3,17,28,45,0,0,0,1,5167.316018,11145,1,0,12682,1,8.785,0,45,39,155,11,144,0,20,20,1.5,12808.0351,15059,4,25805.00207,362,1,8398.349872,13334,1,5276.257955,10880.5,0,0,0,1,5276.257955,10880.5,39,83,4,5,76,269,31
RP11-402F9.3,0,41,55,0,0,183,0,7,0,1,16,21,37,0,0,0,1,4835.598777,7950.5,0,0,19962,7,6.384615,0,52,36,68,0,68,0,0,0,1,4396.488023,8113,0,0,0,1,4396.488023,8113,0,0,0,0,0,0,0,0,0,20,38,6,5,68,157,45
RP11-402J6.1,0,40,110,0,0,0,0,10,2,2,4,8,12,0,0,0,1,984.1426667,7063,1,0,7063,10,6.197692,0,3,2,12,0,12,0,0,0,1,1357.485375,5529,0,0,0,1,1357.485375,5529,0,0,0,0,0,0,0,0,0,5,5,1,1,51,28,4
RP11-402L1.11,0,53,30,0,0,0,0,4,0,1,10,12,22,0,0,0,1,2237.527897,5706.5,0,0,19962,1,5.455,0,30,61,30,2,28,0,0,0,2,19512.48932,16812,1,19950.03555,257.5,3,19479.46696,16812,0,0,0,0,0,0,0,0,0,63,54,0,0,63,205,0
RP11-402L1.4,0,45,19,0,0,210,0,1,0,0,8,14,22,0,0,0,1,2249.731667,5691,1,0,5691,0,0,0,43,24,48,0,48,0,23,23,1,4034.821265,6533,0,0,0,1,4034.821265,6533,1,2627.644461,6107,0,0,0,1,2627.644461,6107,27,25,2,4,83,116,33
RP11-402L5.1,0,34,13,0,0,0,0,5,0,2,24,27,51,0,0,0,1,5231.033065,8164,0,0,19962,1,8.36,0,34,25,41,0,41,0,27,27,1,4868.669186,9100.5,0,0,0,1,4868.669186,9100.5,1,5510.311532,8092,0,0,0,1,5510.311532,8092,19,18,9,9,10,70,9
RP11-402L6.1,2,69,2,0,0,0,0,0,0,1,11,3,14,0,0,0,0,0,0,0,0,0,1,6.87,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,4,2,19,35,3
RP11-402N8.1,0,26,32,0,0,0,0,0,0,1,5,10,15,0,0,0,1,1384.192969,5486.5,0,0,19962,0,0,0,16,24,69,0,69,0,0,0,2,6033.835017,13971,0,0,0,2,6033.835017,13971,0,0,0,0,0,0,0,0,0,15,39,0,0,16,117,0
RP11-403A21.1,0,49,10,0,0,0,0,16,1,2,53,61,114,0,0,0,1,4315.833039,10302,1,0,13068,0,0,0,33,72,198,8,190,0,32,32,1,7211.31428,10290,9,31798.19117,500,1,4509.041433,9759,1,4350.30753,9879,0,0,0,1,4350.30753,9879,78,99,29,36,76,287,59
RP11-403A21.2,0,50,43,0,0,0,0,16,0,1,36,32,68,0,0,0,1,3986.115683,10456,1,0,14701,4,7.207143,0,47,62,189,8,181,0,20,20,1,7303.060009,10905,8.5,31694.38958,478.5,1,4930.651055,10290,1,4728.189325,12051.5,0,0,0,1,4728.189325,12051.5,77,108,6,8,79,322,6
