LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
RP5-998N21.7,0,6,31,0,0,0,0,15,1,0,7,5,12,0,0,0,1,1562.315408,11016.5,0,0,23954,8,5.481875,0,24,1,28,1,27,0,0,0,1.5,9130.093968,21037.5,4,32705.0217,765,1,8256.948496,20910,0,0,0,0,0,0,0,0,0,2,8,0,0,9,13,0
RP6-102O10.1,0,91,20,0,0,80,0,6,0,0,10,13,23,0,0,0,1.5,3492.104817,17419,0,0,23954,0,0,0,6,1,1,0,1,0,1,1,1,281.8368,5167,0,0,0,1,281.8368,5167,1,281.8368,4988,0,0,0,1,281.8368,4988,1,1,1,1,0,1,0
RP6-109B7.2,0,50,23,0,0,0,0,20,1,2,116,56,172,7.5,85313.1332,1095,2,6678.702731,19553.5,0,0,23954,13,8.4235,20,80,25,239,26,213,20,72,92,4,56017.99952,23690,8,92699.58488,1105,2,9876.600447,20183,4,57711.53783,23511,8,92552.55162,1105,2,10585.5423,20494,126,88,71,40,18,15,8
RP6-109B7.3,0,66,111,0,0,0,0,37,1,3,116,62,178,7.5,85313.1332,1095,2,6779.797808,19553.5,0,0,23954,10,6.923846,20,78,31,212,25,187,20,62,82,4,55621.75421,23690,8,91749.34012,1105,2,9444.493099,19225,4,57476.46738,23511,8,91570.07348,1105,2,10403.06201,20494,101,78,67,43,20,16,11
RP6-109B7.4,1,43,103,0,0,0,0,56,1,4,161,88,249,8,88464.55742,1097,1,3988.008109,16447,0,0,23954,9,6.723333,19,159,32,266,26,240,19,80,99,4,57748.51117,23690,8,93721.90827,1108,2,9591.507655,19675,6,62150.06782,23538,8,94243.01567,1108,2,9548.017205,18972,160,103,93,44,17,17,9
RP6-109B7.5,0,69,83,0,0,0,0,31,1,2,114,63,177,7.5,85313.1332,1095,1.5,7097.823554,19889.5,0,0,23954,9,7.751818,20,70,31,212,25,187,20,62,82,4,55621.75421,23690,8,91749.34012,1105,2,9444.493099,19225,4,57476.46738,23511,8,91570.07348,1105,2,10403.06201,20494,101,78,67,43,20,16,11
RP6-114E22.1,0,49,31,0,0,0,0,19,1,0,43,51,94,0,0,0,1,2244.584617,12356,1,0,7480,0,0,0,65,2,4,0,4,0,4,4,1,2100.14745,14114.5,0,0,0,1,2100.14745,14114.5,1,2100.14745,13935.5,0,0,0,1,2100.14745,13935.5,3,4,3,4,0,0,0
RP6-65G23.1,0,65,18,0,0,0,0,46,2,3,26,30,56,3.5,25522.2005,450,1,6828.513366,15965,1,0,22076,0,0,2,41,5,61,1,60,1,18,19,1,8458.780049,20840,2,31900.9005,775,1,7748.412763,19890,1,12178.42581,22226,2,31900.9005,775,1,11082.73277,22112.5,23,24,6,6,0,7,0
RP6-65G23.3,0,48,106,1,0,0,0,63,1,3,43,58,101,0,0,0,1,3841.577325,17187,1,0,19156,3,6.2025,0,73,42,285,2,283,0,68,68,1,4828.994152,16462,3.5,25522.2009,458,1,4638.273352,16439,1,5033.271612,17212,0,0,0,1,5033.271612,17212,101,123,32,43,8,32,8
RP6-74O6.6,0,12,43,0,0,0,0,26,1,0,29,16,45,0,0,0,1,3007.196977,15364.5,0,0,23954,2,5.73,0,78,1,29,0,29,0,29,29,1,3741.071217,18222,0,0,0,1,3741.071217,18222,1,3741.071217,18043,0,0,0,1,3741.071217,18043,6,6,6,6,6,5,5
RP6-91H8.1,1,53,36,0,0,0,0,27,1,1,9,17,26,0,0,0,1,2318.3607,14333,1,0,21267,0,0,0,11,5,17,0,17,0,1,1,1,1971.833647,10487,0,0,0,1,1971.833647,10487,1,370.6827,9047,0,0,0,1,370.6827,9047,7,8,2,2,0,0,0
